4f20e5b43617d3aebda192d0e56cefc5d8e52aac,Cc1cccc(c1)-c1cc(nn1-c1ccc(cc1)S(N)(=O)=O)C(F)(F)F
de42187d030b42a0752fe7bca679635fec5f4c44,Cc1c(CCC(O)=O)cccc1NC(=O)C(C1CCCC1)c1ccc(cc1)-c1cncc(Cl)c1
4087d9e4094a6a30120ddf86af4268c0923a320c,Cc1cc(=O)c(-c2ccc(cc2)S(C)(=O)=O)c(o1)-c1ccc(F)cc1
3319697497e2bd309ee6d3772d0f09fd786c2df5,COc1cc(cc(OC)c1OC)-c1cc(nn1-c1ccc(cc1)S(N)(=O)=O)C(F)(F)F
53eddd813f3bf381fa034fdec6fa9969981af981,CS(=O)(=O)c1ccc(cc1)-n1cc(nc1-c1cccc(c1)C(F)(F)F)C(F)(F)F
8b33c4d4d2b190fe12796ed52f11b772d048ef62,CC(C(O)=O)c1ccc(c(F)c1)-c1cccc(OC(=O)NC2CCCCC2)c1
8928627a65faa7a6320d42637d7fc870b7ebeea4,Cc1ccc(cc1)-c1cc(nn1-c1ccc(cc1)S(N)(=O)=O)C(F)(F)F
c7af210929e141e62f8ea6dd2c372ffd95f452ea,Cc1nc(c(o1)-c1ccc(cc1)S(C)(=O)=O)-c1ccc(F)cc1
ea3b690f1a75fbd2f43f34138aeaeffe67ff8206,Cc1c(CC(=O)NCCO)cc(-c2ccc(cc2)S(C)(=O)=O)n1-c1ccc(F)cc1
7dc89b28e94ba9a86a393ee354bc6b546a86c57e,NS(=O)(=O)c1ccc(cc1)-c1cc(Br)sc1-c1ccc(F)cc1
c9f65fb6d424eaf663819d68274dc21fdbf74bb9,CS(=O)(=O)c1ccc(cc1)-n1cc(nc1-c1ccc(cc1)C(F)(F)F)C(F)(F)F
46b7c95924ea095d7c151ac2a5bcca9ae735460b,CC1(O)OC(=O)C(=C1c1ccc(cc1)S(C)(=O)=O)c1ccc(Cl)c(Cl)c1
0246fa124c0f55ec055f5effb6a9997dba78b3bf,Cc1cc(=O)c(-c2ccc(F)cc2)c(o1)-c1ccc(cc1)S(C)(=O)=O
d060ee11d2d46997d23d2aa47ac79f1fc009064a,Cc1ccc(cc1)S(=O)(=O)n1cc(C(=O)C(=O)N[C@@H](Cc2cnc[nH]2)C(O)=O)c2ccccc12
c4725d622dd663908f8a0b38a3a385735a4f58de,CS(=O)(=O)c1ccc(cc1)-n1cnc(Cl)c1-c1ccc(Br)cc1
cf55e696434c6c3dca57be091287f760b3d76d92,Cc1c(cc(-c2ccc(cc2)S(C)(=O)=O)n1-c1cccc(F)c1)C(N)C(=O)NCCO
ef21a38cd6dcd620791afce6509dedcabc4b4405,CS(=O)(=O)c1ccc(cc1)C1=C(C(=O)CC1)c1ccc(F)c(Cl)c1
19e9dc369177963419cbeb23bd57ef337fee1ad5,Cc1c(cc(-c2ccc(cc2)S(C)(=O)=O)n1-c1ccc(F)cc1)C(N)C(=O)NCCCO
6f0a13a85f57950d20f5f9e35c785494a7e90bed,Cc1cc(=O)c(Oc2ccc(F)cc2F)c(o1)-c1ccc(cc1)S(C)(=O)=O
203e630f97ea7dfd3fa889d86f26c0bb6803c5a5,COc1ccc(cc1Cl)-c1cc(nn1-c1ccc(cc1)S(N)(=O)=O)C(F)(F)F
fca9f50bc6643a8b4389b6b83496b7cb291a4b3c,NS(=O)(=O)c1ccc(cc1)N1N=C2C(CCc3ccccc23)C1c1ccc(Cl)cc1
0c252e78582cc5bb0cc6f6f5e9240a87563b68f2,NS(=O)(=O)c1ccc(cc1)-c1cnn(CC2CC2)c(=O)c1-c1ccccc1
540f59f1a6e71cc18beecbbc22a21e1736b1269f,COc1ccc(cc1)-c1cc(nn1-c1ccc(cc1)S(N)(=O)=O)C(F)(F)F
dc5b2298d125c73ea021b270e7aff9dc08dc04f3,CS(=O)(=O)c1ccc(cc1)-n1cc(nc1-c1ccc(F)cc1)C(F)(F)F
c6df83cffb8827663724fe9eee48abd56979f437,CS(=O)(=O)c1ccc(cc1)-n1cc(nc1-c1ccc(F)c(F)c1)C(F)(F)F
7794c8c01af9e7b0093a9a276dc426d08be90b4a,Cc1c(CC(=O)NCCO)cc(-c2ccc(cc2)S(C)(=O)=O)n1-c1cccc(F)c1
d3391a0ef511ae5de4ef03a47ce6248540f42b52,Cc1cc(ccc1F)-c1nc(cn1-c1ccc(cc1)S(N)(=O)=O)C(F)(F)F
876a197c92a127d939dc5293c1ab9ff2193ebd8b,Cc1ccc(cc1)-c1c(cnn(Cc2ccccc2)c1=O)-c1ccc(cc1)S(N)(=O)=O
fe6078af03b39551dac5b6ccfb33bd776d916576,CS(=O)(=O)c1ccc(cc1)-c1c(nn2ncccc12)-c1ccc(F)cc1
42f60b3e6e4079a1bdeb78f225dd53b629239bb6,CS(=O)(=O)c1ccc(cc1)-n1cnc(Cl)c1-c1ccc(F)cc1
3066ce82ec6f7de9bee938370edf6f2e141fb61b,CS(=O)(=O)c1ccc(cc1)-n1nc(cc1-c1ccc(Cl)cc1)C(F)(F)F
985c98baa686afceac90a437031fdfb881a31c4e,NS(=O)(=O)c1ccc(cc1)-n1nc(cc1-c1ccc(Cl)cc1)C(=O)N1CCOCC1
ce091529b0a1e5771809bd7f32f0b52777ebfc14,CC(C)(C)c1cc(cc(c1O)C(C)(C)C)-c1nnc(NC(=O)Nc2ccc(Cl)cc2Cl)s1
e125d1054fa9fcb2b5ff4d7a05ce1fb6af5b4c10,Cc1ccc(cc1)S(=O)(=O)NC(=O)c1cccc(c1)C(=O)NS(=O)(=O)c1ccc(C)cc1
