canonical_smiles,standard_value
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)C23CCCC3)cc1,12.0
CS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(F)c3)C(=O)OC2)cc1,230.0
CC(=O)OCCCCCSc1ccccc1OC(C)=O,50000.0
C#CCSc1ccccc1OC(C)=O,25000.0
CCCCOCCSc1ccccc1OC(C)=O,7000.0
CCCCC#CC(C)Sc1ccccc1OC(C)=O,7000.0
COC(=O)c1cc2cc(S(C)(=O)=O)ccc2n1Cc1ccc(Br)cc1,3720.0
COC(=O)c1cc2cc(S(C)(=O)=O)ccc2n1Cc1ccc(OC)cc1,780.0
COc1ccc(NNC(=O)c2ccc(Cl)cc2)cc1,130.0
COc1ccc(C(=O)NNc2ccc(Cl)cc2)cc1,470.0
CCOc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,4.0
O=C(NNc1ccc(Cl)cc1)c1ccc(Cl)cc1,340.0
O=C(NNc1ccc(Cl)cc1)c1ccccc1,530.0
Cc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,16.0
CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(N)cc2)cc1,187.0
Cc1ncc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,51.0
Clc1ccc(-c2nn(-c3ccccc3)c3c2CCCC3)cc1,620.0
COc1ccc(-c2nn(-c3ccccc3)c3c2CCCCC3)cc1,1240.0
CS(=O)(=O)c1ccc(-n2cnc(Br)c2-c2ccc(F)cc2)cc1,36.0
Cc1ncn(-c2ccc(S(C)(=O)=O)cc2)c1-c1ccc(F)cc1,144.0
COc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)c(F)c1,15.0
CCOc1ccc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)cc1,2.0
CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(F)cc2)cc1,14.0
CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(Cl)cc2)cc1,18.0
CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2cnccc2Cl)cc1,43.0
Cc1ccc(NNC(=O)c2ccc(Cl)cc2)cc1,10.0
CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccncc2)cc1,10000.0
CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc3c(c2)CCO3)cc1,9.0
O=C(NNc1ccccc1)c1ccc(Cl)cc1,330.0
CCOc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1Cl,7.0
CCN(CC)c1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,80.0
NS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2cc(Cl)cc(Cl)c2)cc1,2.0
COc1cc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)ccc1F,8.0
CS(=O)(=O)c1ccc(-c2cnc(C(=O)c3ccccc3)n2-c2ccc(F)cc2)cc1,30.0
CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccccc2F)cc1,28.0
CCCc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,100.0
COc1ccc(-n2nc(-c3ccc(Cl)cc3)c3c2CCCCC3)cc1,1560.0
CSc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,11.0
CCOc1ccncc1-c1c(Cl)ncn1-c1ccc(S(C)(=O)=O)cc1,274.0
COc1ccc(-n2nc(-c3ccc(Cl)cc3)c3c2CCC(F)C3)cc1,2100.0
CCCOc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,10000.0
COc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1C,13.0
CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2cc(F)cc(F)c2)cc1,75.0
COc1ccc(-n2nc(-c3ccc(Cl)cc3)c3c2CCC(N(O)C(C)=O)C3)cc1,2400.0
COc1ccc(NNC(=O)c2ccccc2)cc1,180.0
NS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccccc2)cc1,9.0
CS(=O)(=O)c1ccc(-c2cnc(C#N)n2-c2ccc(F)cc2)cc1,51.0
c1ccc(-c2nn(-c3ccccc3)c3c2CCCCC3)cc1,170.0
COc1ccc(-n2nc(-c3ccc(Cl)cc3)c3c2CCC(O)C3)cc1,460.0
COc1cc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)ccc1C,15.0
CC1Cc2cc(-c3c(Cl)ncn3-c3ccc(S(C)(=O)=O)cc3)ccc2O1,74.0
Clc1ccc(-c2nn(-c3ccccc3)c3c2CCC3)cc1,2590.0
CS(=O)(=O)c1ccc(-c2cnc(Br)n2-c2ccc(F)cc2)cc1,48.0
Cc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1F,6.0
COc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1Cl,8.0
CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2cccc(F)c2)cc1,65.0
CCOc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1F,25.0
Cc1ccc(NNC(=O)c2ccccc2)cc1,330.0
CS(=O)(=O)c1ccc(-c2cnc(Cl)n2-c2ccc(F)cc2)cc1,14.0
CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(OC(F)(F)F)cc2)cc1,10000.0
c1ccc(-c2nn(-c3ccccc3)c3c2CCCC3)cc1,570.0
Clc1ccc(-c2nn(-c3ccccc3)c3c2CCCCC3)cc1,140.0
Clc1ccc(-c2nn(-c3ccc(Cl)cc3)c3c2CCCCC3)cc1,10000.0
NS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(Cl)nc2)cc1,42.0
COc1ccc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)cc1F,5.0
COc1ccc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)cc1Cl,5.0
c1ccc(-c2nn(-c3ccccc3)c3c2CCC3)cc1,6200.0
COc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1F,4.0
CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(F)cc2F)cc1,7.0
COc1cc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)ccc1F,16.0
CCOc1ccc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)cc1F,20.0
CCSc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,53.0
COc1c(Cl)cc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1Cl,7.0
Cc1ccncc1-c1c(Cl)ncn1-c1ccc(S(C)(=O)=O)cc1,284.0
Cc1ccc(-n2nc(-c3ccc(Cl)cc3)c3c2CCCCC3)cc1,640.0
CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccccc2)cc1,123.0
COc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,11.0
